ID,YearlyPayment,MontlyPayment
944,2092.67,174.39
945,3046.56,253.88
946,4270.78,355.90
947,5351.04,445.92
948,6514.88,542.91
949,2082.33,173.53
950,3074.44,256.20
951,3316.18,276.35
952,1329.88,110.82
953,3051.66,254.31
954,3181.98,265.17
955,2925.10,243.76
956,2271.99,189.33
957,2802.76,233.56
958,3218.09,268.17
959,5603.52,466.96
960,3521.82,293.49
961,3137.22,261.43
962,3762.48,313.54
963,5558.06,463.17
964,3195.86,266.32
965,5051.76,420.98
966,7264.18,605.35
967,4927.74,410.64
968,2117.44,176.45
969,1654.85,137.90
970,2839.64,236.64
971,2408.12,200.68
972,3281.64,273.47
973,3973.81,331.15
974,2959.27,246.61
975,5702.45,475.20
976,7232.70,602.73
977,4559.67,379.97
978,3440.22,286.69
979,3636.30,303.02
980,5913.62,492.80
981,2891.77,240.98
982,2177.22,181.44
983,3286.77,273.90
984,3697.44,308.12
985,4145.89,345.49
986,3930.42,327.54
987,2992.52,249.38
988,3545.54,295.46
989,6023.58,501.97
990,2332.84,194.40
991,3956.95,329.75
992,4303.98,358.67
993,4410.22,367.52
994,5592.98,466.08
995,4233.09,352.76
996,2140.84,178.40
997,4730.04,394.17
998,6641.74,553.48
999,3087.53,257.29
1000,3265.08,272.09
1001,3139.21,261.60
1002,3215.34,267.95
1003,4442.74,370.23
1004,5299.73,441.64
1005,2194.34,182.86
1006,1967.86,163.99
1007,1896.98,158.08
1008,5110.75,425.90
1009,3045.66,253.81
1010,4388.29,365.69
1011,5076.30,423.03
1012,7233.32,602.78
1013,2345.77,195.48
1014,3723.37,310.28
1015,6595.76,549.65
1016,4686.56,390.55
1017,5898.58,491.55
1018,3259.18,271.60
1019,2485.42,207.12
1020,3314.36,276.20
1021,6554.48,546.21
1022,5635.30,469.61
1023,6694.96,557.91
1024,5443.22,453.60
1025,6097.80,508.15
1026,5110.50,425.88
1027,3640.60,303.38
1028,6399.29,533.27
1029,3251.64,270.97
1030,2800.78,233.40
1031,4563.24,380.27
1032,5002.38,416.87
1033,4063.76,338.65
1034,4946.08,412.17
1035,2158.78,179.90
1036,5581.33,465.11
1037,5961.78,496.82
1038,5277.72,439.81
